timestamp_utc,btc_price,regime,confidence,P_BULL,P_BEAR,P_RANGE,P_TRANSITION,momentum,stability,rotation,sentiment,macro,risk_level,risk_state,exposure_cap,sma200_ratio,days_above_sma200,data_completeness,failed_sources,model_version,days_in_regime,vol_z,bear_confirmation_would_fire,recovery_override_would_fire
2026-04-21T05:21:30+00:00,75956.0,BULL,0.5205,0.6725,0.0631,0.0962,0.1683,0.68,0.403,0.1734,-0.3583,0.5134,0.486,RISK_ON,1.0,0.8798,0,1.0,,3.3,4,-0.5332,False,False
2026-04-21T16:15:49+00:00,75909.0234375,BULL,0.5382,0.6963,0.0327,0.0716,0.1994,0.6747,0.4141,-0.7908,-0.7433,0.7361,0.5164,RISK_ON,1.0,0.8816,0,1.0,,3.3,4,-0.5749,False,False
2026-04-22T05:19:24+00:00,77971.8828125,BULL,0.4836,0.6773,0.0402,0.0666,0.2159,0.6862,0.4951,0.5151,-0.5263,0.3846,0.4891,RISK_ON,1.0,0.9054,0,1.0,,3.3,5,-0.4203,False,False
2026-04-22T16:14:18+00:00,79220.046875,BULL,0.5805,0.7102,0.0392,0.1061,0.1445,0.6928,1.0,0.3109,-0.355,0.3147,0.5464,RISK_ON,1.0,0.9223,0,1.0,,3.3,5,-0.699,False,False
2026-04-23T05:23:58+00:00,77974.953125,BULL,0.6278,0.7987,0.0217,0.0824,0.0972,0.6858,1.0,-1.0,-0.588,0.001,0.6329,RISK_ON,1.0,0.9079,0,1.0,,3.3,6,-0.9597,False,False
2026-04-23T16:47:36+00:00,78339.8671875,BULL,0.6278,0.8375,0.0213,0.0738,0.0674,0.6876,0.7087,-0.6923,-0.4744,0.0078,0.6669,RISK_ON,1.0,0.9145,0,1.0,,3.3,6,-0.909,False,False
2026-04-24T05:28:45+00:00,77619.6796875,BULL,0.5141,0.7768,0.0369,0.0888,0.0975,0.6836,0.5575,-0.2726,-0.825,-0.1392,0.6043,RISK_ON,1.0,0.9062,0,1.0,,3.3,7,-0.869,False,False
2026-04-24T16:09:16+00:00,77884.0390625,BULL,0.584,0.6668,0.0873,0.1088,0.1371,0.687,0.413,0.5878,-0.5305,-0.0187,0.471,RISK_ON,1.0,0.9117,0,1.0,,3.3,7,-0.8536,False,False
2026-04-25T05:06:45+00:00,77549.40625,BULL,0.3972,0.5869,0.0935,0.0855,0.2341,0.6851,0.0884,0.3693,-0.6596,-0.1792,0.3727,RISK_ON,1.0,0.9078,0,1.0,,3.3,8,-0.8224,False,False
2026-04-25T15:48:14+00:00,77644.15625,BULL,0.4949,0.6066,0.1959,0.0797,0.1178,0.6984,-0.2163,0.5809,-0.5162,-0.1792,0.3173,RISK_ON,1.0,0.9113,0,1.0,,3.3,8,-1.3912,False,False
2026-04-26T05:32:46+00:00,78098.3828125,BULL,0.4194,0.5528,0.2047,0.0585,0.1841,0.7011,-0.4341,0.5794,-0.325,-0.1792,0.2446,RISK_NEUTRAL,0.85,0.9166,0,1.0,,3.3,9,-1.3856,False,False
2026-04-26T15:50:48+00:00,78057.4375,BULL,0.7229,0.7775,0.0953,0.0422,0.085,0.6922,-0.0247,-1.0,-0.549,-0.1792,0.5361,RISK_ON,1.0,0.9186,0,1.0,,3.3,9,-2.0114,False,False
2026-04-27T05:47:00+00:00,77834.4609375,BULL,0.6048,0.7322,0.1061,0.0644,0.0973,0.6909,0.584,-0.1603,-0.15,-0.1837,0.4965,RISK_ON,1.0,0.916,0,1.0,,3.3,10,-2.009,False,False
2026-04-27T16:47:19+00:00,76622.84375,BULL,0.6048,0.7679,0.0697,0.0851,0.0772,0.68,0.9292,0.1611,-0.3534,-0.1592,0.5702,RISK_ON,1.0,0.9041,0,1.0,,3.3,10,-1.4854,False,False
2026-04-28T05:52:26+00:00,76914.5234375,BULL,0.6506,0.738,0.0495,0.0811,0.1314,0.6816,0.6554,0.5833,-0.641,0.1426,0.552,RISK_ON,1.0,0.9075,0,1.0,,3.3,11,-1.5781,False,False
2026-04-28T16:58:51+00:00,76109.28125,BULL,0.6443,0.7886,0.0443,0.073,0.0942,0.6767,0.6109,-0.5448,-0.5541,0.1087,0.6014,RISK_ON,1.0,0.8999,0,1.0,,3.3,11,-1.4762,False,False
2026-04-29T05:38:37+00:00,77216.859375,BULL,0.671,0.7388,0.0627,0.0754,0.1231,0.6829,0.6862,0.5903,-0.5514,0.2503,0.5402,RISK_ON,1.0,0.913,0,1.0,,3.3,12,-1.6536,False,False
2026-04-30T05:42:36+00:00,75692.3203125,BULL,0.6048,0.7605,0.0414,0.0901,0.108,0.6976,1.0,0.1086,-0.4387,-0.3448,0.5856,RISK_ON,1.0,0.8968,0,1.0,,3.3,13,-1.4255,False,False
2026-05-01T05:52:10+00:00,77109.8125,BULL,0.6048,0.7642,0.0607,0.0785,0.0966,0.7083,0.3878,-0.5228,-0.5857,-0.4639,0.5688,RISK_ON,1.0,0.9157,0,1.0,,3.3,14,-1.5194,False,False
2026-05-02T05:22:34+00:00,78053.421875,BULL,0.6048,0.7902,0.0392,0.0711,0.0996,0.7464,0.7463,-1.0,-0.325,-0.1738,0.6054,RISK_ON,1.0,0.929,0,1.0,,3.3,15,-1.3839,False,False
