time,close
2020-10-01,10606.6173325541
2020-10-02,10570.1056777908
2020-10-03,10555.7054339567
2020-10-04,10665.618622443
2020-10-05,10772.6355995909
2020-10-06,10596.3735493863
2020-10-07,10667.1943941555
2020-10-08,10902.5293637054
2020-10-09,11074.1036797779
2020-10-10,11302.8542864407
2020-10-11,11378.2625284629
2020-10-12,11548.401556692
2020-10-13,11434.9687849211
2020-10-14,11417.10811391
2020-10-15,11502.5812390415
2020-10-16,11338.9871765634
2020-10-17,11362.8022174167
2020-10-18,11489.6225650497
2020-10-19,11745.8119675628
2020-10-20,11929.4572507306
2020-10-21,12848.4906177674
2020-10-22,12997.4993417884
2020-10-23,12953.4296969608
2020-10-24,13113.8669231444
2020-10-25,13041.6410374635
2020-10-26,13080.6561698422
2020-10-27,13675.5239275278
2020-10-28,13290.3288497954
2020-10-29,13475.2173007013
2020-10-30,13603.2960908825
2020-10-31,13807.2336110462
2020-11-01,13736.89941128
2020-11-02,13595.5647603741
2020-11-03,13996.915398597312
2020-11-04,14129.148195499703
2020-11-05,15606.46683372297
2020-11-06,15618.972471361778
2020-11-07,14866.356304500296
2020-11-08,15500.000707188785
2020-11-09,15319.819972530682
2020-11-10,15319.27567621274
2020-11-11,15731.241105786092
2020-11-12,16289.814897720637
2020-11-13,16330.06276797195
2020-11-14,16102.010016949156
2020-11-15,15986.7549905903
2020-11-16,16743.05393980129
2020-11-17,17682.16918702513
2020-11-18,17804.690023962594
2020-11-19,17818.668662185857
2020-11-20,18663.78185312683
2020-11-21,18706.58933541788
2020-11-22,18482.692631735823
2020-11-23,18373.2577597896
2020-11-24,19150.251048509646
2020-11-25,18748.393713033314
2020-11-26,17113.716871420223
2020-11-27,17101.603018059614
2020-11-28,17745.377312448858
2020-11-29,18190.866880420806
2020-11-30,19664.407606662764
2020-12-01,18820.60778959673
2020-12-02,19214.872229047334
2020-12-03,19470.31120806546
2020-12-04,18732.967090999413
2020-12-05,19114.633130917588
2020-12-06,19356.3136767972
2020-12-07,19182.176832846293
2020-12-08,18340.97813769725
2020-12-09,18574.69673524255
2020-12-10,18294.84695149036
2020-12-11,18061.760025716
2020-12-12,18813.2837685564
2020-12-13,19156.0825055523
2020-12-14,19286.7512992402
2020-12-15,19432.5884640561
2020-12-16,21370.7203186441
2020-12-17,22789.2674160725
2020-12-18,23048.7645610754
2020-12-19,23856.7735192285
2020-12-20,23528.5506135593
2020-12-21,22937.4183435418
2020-12-22,23756.8887685564
2020-12-23,23307.2709018118
2020-12-24,23707.6330440678
2020-12-25,24669.1643220339
2020-12-26,26478.0681052016
2020-12-27,26430.8565971946
2020-12-28,27039.3490199883
2020-12-29,27231.2034552893
2020-12-30,28844.6136781999
2020-12-31,29022.6714126242
2021-01-01,29380.6937327878
2021-01-02,32022.6810578609
2021-01-03,33277.8353050848
2021-01-04,31802.1467136178
2021-01-05,34013.1741724138
2021-01-06,36643.2777223846
2021-01-07,39215.6511490356
2021-01-08,40775.4045634132
2021-01-09,40370.6823495032
2021-01-10,38329.3401665693
2021-01-11,35269.5137177089
2021-01-12,33712.4685452952
2021-01-13,37296.5475277615
2021-01-14,39045.518340152
2021-01-15,36710.3174248977
2021-01-16,36177.2610970193
2021-01-17,36069.939466803
2021-01-18,36594.2964018118
2021-01-19,36250.1461893629
2021-01-20,35515.480012858
2021-01-21,31022.9510280538
2021-01-22,32986.4357568673
2021-01-23,32036.2822723553
2021-01-24,32216.1042904734
2021-01-25,32419.7059462303
2021-01-26,32640.6391426067
2021-01-27,30358.9347235535
2021-01-28,33511.287595149
2021-01-29,34166.1494259497
2021-01-30,34349.9170952659
2021-01-31,33157.8325745178
2021-02-01,33570.2718468732
2021-02-02,35596.1489094097
2021-02-03,37578.3732068966
2021-02-04,37129.2029376972
2021-02-05,38045.4136084161
2021-02-06,39341.727081239
2021-02-07,39003.0121817651
2021-02-08,46121.9340724722
2021-02-09,46548.1619912332
2021-02-10,45078.128350263
2021-02-11,47892.8409181765
2021-02-12,47525.2091431911
2021-02-13,47208.6250270602
2021-02-14,48829.8275096435
2021-02-15,48110.2417334892
2021-02-16,49140.3826578024
2021-02-17,52224.9391139684
2021-02-18,51650.0699485681
2021-02-19,55820.5044038574
2021-02-20,55861.8205670953
2021-02-21,57500.7161102864
2021-02-22,53952.1533386324
2021-02-23,48560.4890350672
2021-02-24,49567.3456890707
2021-02-25,47568.131170076
2021-02-26,46231.7675784921
2021-02-27,45834.5133611923
2021-02-28,45359.4641642314
2021-03-01,49634.4471092928
2021-03-02,48304.7054879018
2021-03-03,50690.4671835184
2021-03-04,48472.7954751607
2021-03-05,48800.8173594389
2021-03-06,48970.5244868498
2021-03-07,51086.4681794272
2021-03-08,52088.475131502
2021-03-09,54739.1352542373
