date,open,high,low,close,volume,quote_volume
2024-04-28,3252.63,3355.9,3250.0,3262.02,7973.17094111,26008643.073319644
2024-04-29,3262.03,3285.23,3113.7,3216.18,12463.30004485,40084216.33824568
2024-04-30,3216.09,3247.51,2916.57,3010.62,22271.46579808,67050920.36101561
2024-05-01,3010.62,3020.14,2813.8,2970.02,24577.66018931,72996142.31545448
2024-05-02,2970.01,3014.8,2892.78,2987.85,12692.40264674,37922995.2480621
2024-05-03,2987.86,3126.36,2958.64,3104.77,18702.10634519,58065738.71735556
2024-05-04,3105.13,3165.24,3093.28,3117.78,5968.44944914,18608312.32353971
2024-05-05,3118.06,3168.98,3077.0,3137.54,5521.06994963,17322577.809762113
2024-05-06,3137.54,3217.66,3046.88,3063.02,10961.81018,33576243.8175436
2024-05-07,3063.07,3127.99,3002.72,3005.14,8263.70870168,24833601.567766637
2024-05-08,3005.14,3036.42,2936.51,2972.86,11830.76973611,35171222.11769198
2024-05-09,2972.87,3056.24,2951.0,3036.25,5743.88656896,17439875.5950048
2024-05-10,3036.25,3051.35,2880.05,2909.56,11961.91200156,34803900.68325891
2024-05-11,2909.56,2941.91,2886.85,2910.11,4898.98753681,14256592.62074615
2024-05-12,2910.11,2951.99,2901.78,2929.17,5748.03558256,16836973.387367275
2024-05-13,2929.18,2992.0,2864.01,2948.99,15223.00830421,44892499.25903224
2024-05-14,2948.99,2957.51,2860.08,2881.49,12259.36076064,35325225.43817655
2024-05-15,2881.49,3039.95,2864.75,3033.23,11832.26237316,35889973.19814011
2024-05-16,3033.21,3040.93,2925.59,2944.48,17722.57118167,52183756.39300368
2024-05-17,2944.48,3120.0,2934.12,3093.54,15252.95913425,47185639.20016775
2024-05-18,3093.54,3144.67,3087.13,3121.37,5085.44001575,15873539.901961578
2024-05-19,3121.37,3134.0,3055.7,3071.79,4127.58116941,12679062.560381943
2024-05-20,3071.79,3690.83,3050.0,3661.3,42651.59066036,156160268.8847761
2024-05-21,3661.31,3838.0,3628.01,3789.23,42727.99545004,161906202.19915506
2024-05-22,3789.32,3810.0,3655.0,3736.82,31332.13453289,117082546.96519402
2024-05-23,3736.82,3943.11,3530.0,3780.86,67176.72972467,253985810.34681585
2024-05-24,3780.87,3826.16,3630.87,3726.37,24414.53014335,90977572.69027512
2024-05-25,3726.37,3774.39,3707.98,3749.32,5102.14510268,19129574.676380176
2024-05-26,3749.32,3879.9,3732.5,3824.85,19213.31701914,73488055.60065763
2024-05-27,3824.85,3973.73,3824.25,3892.1,20148.77990832,78421066.28117228
2024-05-28,3892.1,3924.15,3771.37,3839.98,14779.32407273,56752308.85280175
2024-05-29,3839.99,3879.9,3742.21,3762.39,11221.44033831,42219434.91445416
2024-05-30,3762.23,3821.64,3702.0,3746.05,10603.59363636,39721591.94148638
2024-05-31,3746.91,3843.01,3722.19,3758.2,12337.17055491,46365554.37946276
2024-06-01,3758.37,3827.06,3750.16,3813.41,3398.87768055,12961314.135786176
2024-06-02,3812.84,3834.36,3753.18,3779.48,3676.85738614,13896608.953768408
2024-06-03,3778.7,3849.01,3758.64,3765.89,12170.45437634,45832592.43131504
2024-06-04,3766.08,3831.45,3728.77,3813.01,12726.19283652,48525100.54757913
2024-06-05,3813.02,3884.42,3778.75,3866.35,9455.78364816,36559369.108063415
2024-06-06,3866.36,3875.99,3760.0,3811.83,8554.14518848,32606947.253803723
2024-06-07,3811.83,3838.09,3574.89,3676.69,16099.72069613,59193682.08625421
2024-06-08,3676.88,3706.74,3657.39,3680.04,5592.04736657,20578957.990872264
2024-06-09,3680.21,3719.73,3665.53,3705.8,3530.97308769,13085080.068361605
2024-06-10,3705.8,3710.0,3640.0,3664.38,7890.38050272,28913352.506557114
2024-06-11,3664.38,3668.45,3430.48,3497.85,21090.37940866,73770983.61458138
2024-06-12,3497.02,3655.47,3464.12,3559.28,18476.11561094,65761668.77170653
2024-06-13,3559.26,3559.26,3428.75,3468.9,11377.88342119,39468739.79976599
2024-06-14,3468.9,3529.49,3364.01,3480.1,15806.67821475,55008820.855151474
2024-06-15,3480.11,3592.0,3473.88,3564.36,8701.12570213,31013944.40764409
2024-06-16,3564.36,3649.99,3542.03,3620.19,4671.76635326,16912681.83440832
2024-06-17,3620.93,3634.61,3465.0,3511.23,16336.43499634,57360980.652198896
2024-06-18,3511.23,3513.81,3350.0,3481.86,22926.06146939,79825336.38781026
2024-06-19,3482.11,3586.45,3465.69,3557.63,22822.50463694,81194027.17151685
2024-06-20,3557.63,3620.0,3482.61,3511.96,15116.00991145,53086822.168615945
2024-06-21,3511.96,3543.6,3443.9,3517.25,17459.77504219,61410393.76714277
2024-06-22,3517.08,3519.5,3476.0,3495.55,6121.83428568,21399177.837308723
2024-06-23,3494.48,3519.43,3408.0,3418.34,4084.72521579,13962979.59414359
2024-06-24,3418.35,3429.73,3230.0,3350.33,18971.64087155,63561257.56118011
2024-06-25,3350.82,3426.91,3334.93,3394.93,8349.80348916,28346998.35945396
2024-06-26,3394.93,3424.85,3328.14,3367.66,9064.78574042,30527116.34658282
2024-06-27,3367.67,3470.72,3362.0,3445.39,12731.92628949,43866451.51854595
2024-06-28,3445.4,3482.0,3362.0,3374.22,8524.46131393,28763407.854688883
2024-06-29,3374.23,3400.0,3366.7,3372.93,2834.96876985,9562151.21289016
