date,btc_dominance,eth_dominance,total_market_cap
2025-04-19,57.350398784867664,,
2025-04-20,57.52900581717337,,
2025-04-21,57.4217712061718,,
2025-04-22,57.59422280078981,,
2025-04-23,57.860052590709465,,
2025-04-24,58.13357702100917,,
2025-04-25,58.10870656272347,,
2025-04-26,58.094010823488006,,
2025-04-27,58.153410421156494,,
2025-04-28,58.19629871073598,,
2025-04-29,58.11236172884011,,
2025-04-30,58.06016144362448,,
2025-05-01,57.99611909410651,,
2025-05-02,58.223192870938654,,
2025-05-03,58.49080996354344,,
2025-05-04,58.45275352071542,,
2025-05-05,58.54453927775906,,
2025-05-06,58.80207574712512,,
2025-05-07,58.69165235560514,,
2025-05-08,58.58695612896059,,
2025-05-09,58.366544444417634,,
2025-05-10,58.13635245329151,,
2025-05-11,58.29687531425365,,
2025-05-12,58.16194246846893,,
2025-05-13,58.26969458141799,,
2025-05-14,58.27350757957733,,
2025-05-15,58.1552677946175,,
2025-05-16,58.40136501062791,,
2025-05-17,58.3007435072589,,
2025-05-18,58.23947393515605,,
2025-05-19,58.23018143582189,,
2025-05-20,58.10923338528487,,
2025-05-21,58.27736184613849,,
2025-05-22,58.22862423770558,,
2025-05-23,58.10746058399812,,
2025-05-24,58.06156281261542,,
2025-05-25,58.09783400900952,,
2025-05-26,58.20368505037249,,
2025-05-27,58.20368505037249,,
2025-05-28,57.93095872664604,,
2025-05-29,57.71144464143446,,
2025-05-30,57.694088176671976,,
2025-05-31,57.46448738832057,,
2025-06-01,57.24414686679013,,
2025-06-02,57.244135372516666,,
2025-06-03,56.46214243193627,,
2025-06-04,56.05255683269183,,
2025-06-05,55.55004138160293,,
2025-06-06,55.97735875917999,,
2025-06-07,56.25096617265753,,
2025-06-08,56.04906364105631,,
2025-06-09,56.17392419620164,,
2025-06-10,56.12674581193434,,
2025-06-11,55.950929154285554,,
2025-06-12,56.31687564585816,,
2025-06-13,56.29235317918509,,
2025-06-14,56.46108383960359,,
2025-06-15,56.5567648322441,,
2025-06-16,56.645206556893626,,
2025-06-17,56.5449566708346,,
2025-06-18,56.234235211784046,,
2025-06-19,56.13055291657516,,
2025-06-20,56.00624299040867,,
2025-06-21,56.12730950730536,,
2025-06-22,56.25070500940962,,
2025-06-23,56.20507236495366,,
2025-06-24,56.15244739503484,,
2025-06-25,56.27497887911625,,
2025-06-26,56.03952379861772,,
2025-06-27,55.93499514564091,,
2025-06-28,55.73694172327052,,
2025-06-29,55.79997929040689,,
2025-06-30,55.83100227035381,,
