date,M,S,R,Sent,Mac,regime,price,fwd3d,fwd7d,fwd14d,fwd30d,conflict_BULL_fear,conflict_BEAR_greed,clean_BULL,clean_BEAR
2025-10-01,-0.15890606024735188,1.0,1.0,0.2244987870314791,-0.973208742006028,BEAR,118393.270386324,3.3671457155621365,4.220748942952768,-6.360494879787404,-7.465821942225881,False,False,False,True
2025-10-02,-0.14597800859834242,1.0,1.0,0.004574741530142807,-0.977473862188738,BEAR,120558.594007013,2.459529601569921,0.8665817544423415,-10.30498447958369,-8.753667242545237,False,False,False,True
2025-10-03,-0.1332597545082704,1.0,0.7680183511994179,0.003965743499955496,-0.973208742006028,BEAR,122348.127640269,2.0239999371898465,-7.02362633400011,-12.850592233927415,-9.774533737297586,False,False,False,True
2025-10-04,-0.2653683416633631,1.0,0.6185220437586038,0.26923029870369564,-0.9631432274506115,BEAR,122379.744317651,-0.6472027584002449,-9.347650408387109,-12.449634102011697,-12.979224312263115,False,False,False,True
2025-10-05,-0.25939143873445847,1.0,-0.0990354453922766,0.003666060761744059,-0.9620654980495712,BEAR,123523.768313852,-0.10800773081259818,-6.776713002780276,-11.995346929769301,-17.951226216797167,False,False,False,True
2025-10-06,-0.31025090278345974,1.0,-0.875899638886616,0.1818474993421113,-0.9484205359051954,BEAR,124824.453666861,-2.580520712205725,-7.604440042350468,-11.363321636663159,-16.750378841082725,False,False,False,True
2025-10-07,-0.1722090484241237,1.0,1.0,0.26919454412367505,-0.8500964385335069,BEAR,121587.699236704,-6.442137615651566,-6.7939601442218445,-10.599194857472604,-16.73370389148384,False,False,False,True
2025-10-08,-0.3961701160943817,1.0,0.6264890172021372,-0.08304868429647803,-0.9212641732257087,BEAR,123390.353094682,-10.090123850257138,-10.152722879138043,-12.742262674401594,-16.177829827938417,False,False,False,True
2025-10-09,-0.3386960535760284,1.0,0.46388509428310787,-0.004181555464479507,-0.965578453235378,BEAR,121603.33278609,-5.3044728243047405,-11.075587216014704,-9.49184181423629,-15.845216496465198,False,False,False,True
2025-10-10,-0.3340153797739793,1.0,0.19514617166980375,0.009544845838477742,-0.973009084080057,BEAR,113754.852328171,1.386666651239965,-6.267146878474284,-2.399817788260572,-7.972676946594747,False,False,False,True
2025-10-11,-0.28242235264537485,1.0,0.2435993310654593,-0.13685496070650366,-0.964407178883811,BEAR,110940.113648159,2.1515804190512577,-3.4218458844133326,0.6079155567353167,-4.378610523727011,False,False,False,True
2025-10-12,-0.3560134080930307,1.0,0.1832128704021719,-0.13687798647816005,-1.0,BEAR,115152.917045003,-3.725519656560161,-5.597993908050746,-0.5174133662815938,-10.575946963299698,False,False,False,True
2025-10-13,-0.33998755606185405,1.0,0.6721387243844847,-0.16608322019352503,-0.776267919339917,BEAR,115332.252929573,-6.240408160744016,-4.068249162660642,-1.079038250685993,-11.835480474896631,False,False,False,True
2025-10-14,-0.289062887409353,1.0,-1.0,-0.0965794903327525,-0.7727205132024327,BEAR,113327.079410286,-5.9133358009266335,-4.08260528946276,-0.30565824673106645,-11.728678912590574,False,False,False,True
2025-10-15,-0.338872454345447,1.0,-0.1606541974420966,-0.043422143283406996,-0.7636575323497591,BEAR,110862.872485389,-3.3545572714193783,-2.8821572319661093,-0.5921951033918238,-14.757262297144235,False,False,False,True
2025-10-16,-0.367781982637851,1.0,-0.4511438310459051,0.04806142612155509,-0.7636575323497591,BEAR,108135.049605786,0.5286113616064902,1.7810018106339864,-0.10664975352712158,-11.646301372879797,False,False,False,True
2025-10-17,-0.43412765114918633,1.0,-0.2700057306796187,0.01596870641739461,-0.786926889965045,BEAR,106625.668651373,3.765116706785898,4.125905657859019,2.7465909601049,-11.670131319325105,False,False,False,True
2025-10-18,-0.47907455634184987,1.0,-0.80837017746326,0.03318133942135388,-0.7311607622671564,BEAR,107143.913935126,1.4526892658638824,4.172539305654732,2.6705967843908773,-14.216806189461783,False,False,False,True
2025-10-19,-0.4723221753472509,1.0,-0.7408639051129026,-0.00361236401045216,-0.7337421226351785,BEAR,108706.663763881,-0.9558140590643638,5.381856543197361,1.547747677081257,-14.599125116367484,False,False,False,True
2025-10-20,-0.4503488980248791,1.0,-0.7593820731811316,-0.027236236644803805,-0.741066253552056,BEAR,110640.249515488,-0.5236003360711061,3.115976604078785,-3.745876156053718,-17.46179032209081,False,False,False,True
2025-10-21,-0.5150349414473288,1.0,-0.7939860234210685,0.12785409300103723,-0.7596371582515553,BEAR,108700.382071888,2.1385031319988146,3.9377081228382904,-6.762298990546989,-20.045085028724362,False,False,False,True
2025-10-22,-0.48503523846725854,1.0,-0.4969369891222164,0.02891802286059253,-0.7501726873798378,BEAR,107667.630188486,3.665823852805561,2.3579211227373165,-3.484562064353125,-21.101591841614564,False,False,False,True
2025-10-23,-0.47155042124767194,0.9981367926924691,-0.562445849016566,0.03431899392702514,-0.7364129492433871,BEAR,110060.936797195,4.085158453302018,-1.8546207352852728,-8.013163776245246,-22.974486668683546,False,False,False,True
2025-10-24,-0.5412213407605195,0.7568176572948484,-0.6304773368884765,0.07758561731523715,-0.6682071278373505,BEAR,111024.94314699,2.7586869862567864,-1.3246604570108844,-6.842130412082947,-21.754110202021128,False,False,False,True
2025-10-25,-0.43716260173271493,0.6502337466753412,-0.32664954292192183,0.06826867240224195,-0.7158388046186136,BEAR,111614.535857686,1.2239893111636535,-1.4417835365008957,-8.31389419591444,-20.81891326876557,False,False,False,True
2025-10-26,-0.3225009582793241,0.7711758907042837,0.203062460338098,0.09859475103647933,-0.6157752504646171,BEAR,114557.100460549,-3.7978898383486115,-3.6383007396956213,-8.617148112070582,-23.67600937938843,False,False,False,True
2025-10-27,-0.3752745645082186,0.8086855662331671,-0.05017567323642104,-0.04907581878742298,-0.6020811780543263,BEAR,114087.773805085,-5.318755692040289,-6.654500094082493,-7.01678662065558,-20.719570510654496,False,False,False,True
2025-10-28,-0.29608173417108463,0.8026226951505666,0.4777274477768974,-0.06651906283092004,-0.5290289379534464,BEAR,112980.685846289,-3.0327716573146812,-10.29463445618748,-8.85662904212815,-19.15768667791702,False,False,False,True
2025-10-29,-0.3666121890070335,0.8446566730666989,-0.30772380885474027,-0.044473472902646055,-0.5745776169803105,BEAR,110206.347983051,-0.18243243822391175,-5.7078955131227405,-7.734782511373095,-17.436583031990715,False,False,False,True
2025-10-30,-0.3222872265481336,0.8939945700804073,-0.24496275883286875,-0.15339125693403266,-0.32860603284945483,BEAR,108019.723841905,2.1935297563636214,-6.274918989664647,-7.3916257260144285,-15.902327284852236,False,False,False,True
2025-10-31,-0.3094594376808671,0.9181836003473438,-0.046640438278781365,-0.17458641519014328,-0.3218501409983335,BEAR,109554.239627703,-2.791710159467542,-5.591538859279321,-13.739031986604445,-17.29420745442196,False,False,False,True
2025-11-01,-0.3126641276845249,0.9531771510761315,-0.22698339261000477,-0.19999999999999996,-0.31131947572428814,BEAR,110005.295855348,-7.868310844243053,-6.972641050133676,-13.148439721833382,-21.36320697745807,False,False,False,True
2025-11-02,-0.4077879728515943,1.0,-0.8368848108593623,-0.19999999999999996,-0.31131947572428814,BEAR,110389.168627119,-5.864057059470163,-5.166832269038213,-14.681563172392808,-17.086045923475346,False,False,False,True
